whois_regDate,whois_expDate,whois_updatedDate,dot_count,url_len,digit_count,special_count,hyphen_count,double_slash,single_slash,at_the_rate,protocol,protocol_count
403,326,23,6,225,58,12,4,0,10,0,0,0
2727,194,168,7,177,47,0,1,0,11,0,0,0
5431,46,317,6,60,0,0,0,0,2,0,0,0
3643,374,5,1,116,21,1,1,1,10,0,0,0
-1,-1,-1,3,36,0,0,0,0,1,0,0,0
3887,129,296,2,61,7,0,3,0,2,0,0,0
166,198,163,5,60,4,0,0,0,6,0,0,0
-1,-1,-1,1,19,4,0,0,0,1,0,0,0
882,212,152,4,193,35,9,3,0,10,0,0,0
-1,-1,-1,3,45,0,0,0,0,3,0,0,0
7876,523,411,2,79,7,2,0,0,2,0,0,0
-1,-1,-1,4,63,0,1,1,0,5,0,0,0
-1,-1,-1,3,59,0,1,0,0,3,0,0,0
144,220,5,3,53,0,0,0,0,5,0,0,0
2916,5,77,2,37,0,0,0,0,4,0,0,0
1043,51,342,5,65,4,0,0,0,6,0,0,0
-1,-1,-1,5,59,4,0,0,0,2,0,0,0
-1,-1,-1,5,49,4,0,0,0,1,0,0,0
-1,-1,-1,2,87,2,0,6,0,7,0,0,0
5764,79,284,2,77,0,0,1,0,7,0,0,0
-1,-1,-1,1,12,2,0,0,0,1,0,0,0
166,198,163,5,63,4,0,0,0,6,0,0,0
6681,623,89,2,29,0,0,0,0,1,0,0,0
882,212,152,4,188,38,8,3,0,10,0,0,0
-1,-1,-1,3,95,1,0,6,0,7,0,0,0
6681,623,89,3,58,0,0,0,0,3,0,0,0
800,-71,29,2,37,0,0,0,0,3,0,0,0
-1,-1,-1,3,66,25,0,0,0,5,0,0,0
7876,523,411,4,94,3,2,0,0,4,0,0,0
-1,-1,-1,2,47,1,0,1,0,3,0,0,0
-1,-1,-1,3,33,0,0,0,0,1,0,0,0
4741,372,8,10,103,17,0,0,0,3,0,0,0
6281,2484,735,1,19,0,0,0,0,1,0,0,0
3697,319,74,3,37,2,0,0,0,2,0,0,0
-1,-1,-1,1,13,0,0,0,0,1,0,0,0
6362,1672,245,2,42,0,0,0,0,3,0,0,0
-1,-1,-1,3,78,4,0,0,0,6,0,0,0
-1,-1,-1,3,50,0,1,0,0,3,0,0,0
6784,520,211,2,28,0,0,0,0,1,0,0,0
7876,523,411,2,79,7,2,0,0,2,0,0,0
3697,319,74,3,38,2,0,0,0,2,0,0,0
6281,2484,735,1,19,2,0,0,0,1,0,0,0
4910,202,184,3,52,0,0,0,0,4,0,0,0
-1,-1,-1,2,32,0,0,0,0,2,0,0,0
4078,304,91,3,55,0,1,0,0,3,0,0,0
-1,-1,-1,6,41,0,0,0,0,2,0,0,0
6,359,1,4,72,0,0,0,0,4,0,0,0
-1,-1,-1,1,37,0,0,0,0,5,0,0,0
6535,37,327,5,50,0,0,0,0,3,0,0,0
-1,-1,-1,3,45,0,0,0,0,3,0,0,0
